lemma,Level,pos,is_stop,frequency
fellowship,Tolkien Lore (Names/Places),NOUN,False,7
of,B2,ADP,True,5103
the,A1,DET,True,11763
ring,A2,PROPN,False,389
john,Tolkien Lore (Names/Places),PROPN,False,2
ronald,Tolkien Lore (Names/Places),PROPN,False,1
ruel,Tolkien Lore (Names/Places),PROPN,False,1
tolkien,Tolkien Lore (Names/Places),PROPN,False,2
lord,Tolkien Lore (Names/Places),PROPN,False,81
rings,Tolkien Lore (Names/Places),PROPN,False,21
r,Tolkien Lore (Names/Places),PROPN,False,2
foreword,Tolkien Lore (Names/Places),PROPN,False,2
this,B2,DET,True,556
tale,B2,NOUN,False,98
grow,B2,VERB,False,175
in,B1,ADP,True,2970
telling,Advanced / Unknown,NOUN,False,3
until,B2,SCONJ,True,141
it,A1,PRON,True,2785
become,A2,VERB,True,131
a,A1,DET,True,3728
history,B2,NOUN,False,42
great,A1,PROPN,False,392
war,A2,PROPN,False,44
and,B1,CCONJ,True,7569
include,B1,VERB,False,6
many,B1,ADJ,True,378
glimpse,A1,NOUN,False,29
yet,C1,ADV,True,260
more,B2,ADV,True,415
ancient,B2,ADJ,False,50
that,A1,PRON,True,2541
precede,B1,VERB,False,2
be,B1,AUX,True,7373
begin,A2,VERB,False,207
soon,A2,ADV,False,173
after,A1,SCONJ,True,249
hobbit,Tolkien Lore (Names/Places),PROPN,False,333
write,C1,VERB,False,48
before,A1,ADP,True,397
its,A1,PRON,True,233
publication,B1,NOUN,False,1
but,B1,CCONJ,True,1773
i,Tolkien Lore (Names/Places),PRON,True,3302
do,A2,AUX,True,1194
not,A2,PART,True,2065
go_on,Advanced / Unknown,VERB,False,86
on,B2,ADP,True,1280
with,C1,ADP,True,1123
sequel,C1,NOUN,False,4
for,B1,SCONJ,True,1444
wish,C1,VERB,False,123
first,B1,ADV,True,177
to,A1,PART,True,3954
complete,A2,VERB,False,8
set,A2,VERB,False,88
order,A1,NOUN,False,32
mythology,C1,NOUN,False,1
legend,A1,NOUN,False,23
elder,Tolkien Lore (Names/Places),PROPN,False,20
days,Tolkien Lore (Names/Places),PROPN,False,20
which,C1,PRON,True,260
have,B1,AUX,True,2653
then,A2,ADV,True,560
take,A1,VERB,False,301
shape,B1,NOUN,False,59
some,B2,DET,True,366
year,C1,NOUN,False,150
desire,B1,VERB,False,50
my,B1,PRON,True,499
own,B2,ADJ,True,149
satisfaction,A1,NOUN,False,2
little,A1,ADJ,False,224
hope,A2,NOUN,False,151
other,A1,ADJ,True,353
people,B2,NOUN,False,84
would,C1,AUX,True,476
interested,A2,ADJ,False,9
work,C1,NOUN,False,66
especially,A1,ADV,False,34
since,A2,SCONJ,True,121
primarily,B2,ADV,False,1
linguistic,Advanced / Unknown,ADJ,False,2
inspiration,A2,NOUN,False,2
provide,A1,VERB,False,5
necessary,A1,ADJ,False,7
background,A1,NOUN,False,3
elvish,Tolkien Lore (Names/Places),ADJ,False,33
tongue,A1,NOUN,False,54
when,B2,SCONJ,True,412
those,B1,PRON,True,136
whose,C1,DET,True,21
advice,A2,NOUN,False,28
opinion,A2,NOUN,False,5
seek,B1,VERB,False,53
correct,A2,VERB,False,5
no,B1,DET,True,649
go,A1,VERB,False,766
back,A1,ADV,True,360
encourage,B2,VERB,False,7
by,B1,ADP,True,583
request,A2,NOUN,False,4
from,B2,ADP,True,760
reader,B1,NOUN,False,8
information,A1,NOUN,False,11
concern,A2,VERB,False,30
their,B1,PRON,True,702
adventure,B2,NOUN,False,29
story,B2,NOUN,False,59
draw,B1,VERB,False,100
irresistibly,A1,ADV,False,2
towards,B1,ADP,True,117
old,B2,ADJ,False,326
world,C1,NOUN,False,125
an,B2,DET,True,318
account,B1,NOUN,False,37
as,B2,SCONJ,True,1401
end,B1,NOUN,False,262
pass,A2,VERB,False,234
away,A1,ADV,False,341
beginning,B1,NOUN,False,18
middle,A1,NOUN,False,64
tell,A2,VERB,False,235
process,A2,NOUN,False,4
writing,C1,NOUN,False,8
there,B1,PRON,True,1072
already,B1,ADV,True,114
reference,A2,NOUN,False,5
matter,B2,NOUN,False,58
elrond,Tolkien Lore (Names/Places),PROPN,False,137
gondolin,Tolkien Lore (Names/Places),PROPN,False,4
high,A1,ADJ,False,135
elf,Tolkien Lore (Names/Places),NOUN,False,101
orc,Tolkien Lore (Names/Places),NOUN,False,49
well,A1,ADV,True,401
arise,B2,VERB,False,10
unbidden,Advanced / Unknown,ADV,False,2
thing,B2,NOUN,False,260
or,B2,CCONJ,True,709
deep,B1,ADJ,False,161
dark,B1,ADJ,False,325
than,A2,ADP,True,330
surface,B1,NOUN,False,8
durin,Tolkien Lore (Names/Places),PROPN,False,20
moria,Tolkien Lore (Names/Places),PROPN,False,78
gandalf,Tolkien Lore (Names/Places),PROPN,False,467
necromancer,Advanced / Unknown,NOUN,False,2
discovery,B1,NOUN,False,5
significance,A2,NOUN,False,2
these,B1,DET,True,170
relation,B2,NOUN,False,8
reveal,B1,VERB,False,17
third,B2,PROPN,False,22
age,A2,PROPN,False,42
culmination,B2,NOUN,False,1
who,C1,PRON,True,217
ask,B2,VERB,False,190
about,A1,ADP,True,347
eventually,B1,ADV,False,8
get,B1,VERB,False,256
they,B2,PRON,True,2792
wait,A2,VERB,False,80
long,B1,ADJ,False,540
time,A2,NOUN,False,335
composition,B2,NOUN,False,1
at,A2,ADP,True,1196
interval,B1,NOUN,False,2
during,B1,ADP,True,11
period,B2,NOUN,False,1
duty,B1,NOUN,False,4
neglect,B2,VERB,False,1
interest,B1,NOUN,False,14
learner,B1,NOUN,False,1
teacher,B2,NOUN,False,2
often,B1,ADV,True,80
absorb,B1,VERB,False,1
delay,B1,NOUN,False,23
course,A2,NOUN,False,106
also,A2,ADV,True,98
increase,B2,VERB,False,6
outbreak,A2,NOUN,False,1
reach,A2,VERB,False,83
book,B1,PROPN,False,63
one,A2,PROPN,False,435
spite,B1,NOUN,False,13
darkness,B1,NOUN,False,76
next,A1,ADJ,True,46
five,B2,NUM,True,29
find,B2,VERB,False,343
could,B2,AUX,True,468
now,A1,ADV,True,680
wholly,B2,ADV,False,12
abandon,B1,VERB,False,7
plod_on,Advanced / Unknown,VERB,False,1
mostly,A1,ADV,True,16
night,A2,NOUN,False,247
till,B1,SCONJ,False,47
stand,B2,VERB,False,233
balin,Tolkien Lore (Names/Places),PROPN,False,25
's,B1,PART,True,307
tomb,A1,NOUN,False,6
halt,Advanced / Unknown,VERB,False,63
while,C1,NOUN,True,205
almost,B1,ADV,True,65
later,B1,ADV,False,45
so,B2,ADV,True,455
come,B2,VERB,False,821
lothlorien,Tolkien Lore (Names/Places),PROPN,False,30
river,A1,PROPN,False,176
late,A1,ADV,False,45
draft,B2,NOUN,False,1
three,A2,PROPN,False,115
chapter,B1,NOUN,False,35
iii,Tolkien Lore (Names/Places),NUM,False,3
beacon,Advanced / Unknown,NOUN,False,2
flare,Advanced / Unknown,VERB,False,4
anorien,Tolkien Lore (Names/Places),PROPN,False,1
theoden,Tolkien Lore (Names/Places),PROPN,False,1
harrowdale,Tolkien Lore (Names/Places),PROPN,False,1
stop,B1,VERB,False,62
foresight,Tolkien Lore (Names/Places),PROPN,False,1
fail,B2,VERB,False,32
thought,B2,NOUN,False,74
leave,A2,VERB,False,276
loose,B2,ADJ,False,7
perplexity,Advanced / Unknown,NOUN,False,1
task,A1,NOUN,False,16
conduct,B2,VERB,False,1
least,A1,ADJ,True,80
report,A2,VERB,False,20
force,A2,VERB,False,23
myself,A2,PRON,True,40
tackle,A2,VERB,False,2
journey,B2,NOUN,False,107
frodo,Tolkien Lore (Names/Places),PROPN,False,1102
mordor,Tolkien Lore (Names/Places),PROPN,False,64
four,B1,PROPN,False,45
send_out,Advanced / Unknown,VERB,False,11
out,A1,ADP,True,636
serial,A2,NOUN,False,1
son,A1,NOUN,False,51
christopher,Tolkien Lore (Names/Places),PROPN,False,1
south,B1,PROPN,False,102
africa,Tolkien Lore (Names/Places),PROPN,False,1
raf,Tolkien Lore (Names/Places),PROPN,False,1
nonetheless,A2,ADV,False,9
another,B2,DET,True,99
bring,A1,VERB,False,101
present,B1,ADJ,False,57
change,A2,VERB,False,61
house,B1,NOUN,False,114
chair,B1,NOUN,False,36
college,B2,NOUN,False,1
day,B2,NOUN,False,309
though,B2,SCONJ,True,206
less,A2,ADJ,True,77
laborious,Advanced / Unknown,ADJ,False,1
last,A2,ADJ,True,293
whole,C1,ADJ,True,32
revise,A2,VERB,False,2
indeed,B2,ADV,True,137
largely,B2,ADV,False,6
re,Advanced / Unknown,VERB,True,4
backwards,B2,ADV,False,6
type,B2,VERB,False,2
cost,A1,NOUN,False,3
professional,A1,ADJ,False,2
typing,Advanced / Unknown,NOUN,False,1
ten,B2,NUM,True,13
fingered,Advanced / Unknown,NOUN,False,2
beyond,B1,ADP,True,153
mean,B1,NOUN,False,109
read,B1,VERB,False,34
finally,B2,ADV,False,7
appear,A2,VERB,False,51
print,A2,NOUN,False,3
should,B2,AUX,True,199
like,A1,VERB,False,428
say,B1,VERB,True,1739
something,A1,PRON,True,116
here,B1,ADV,True,323
guess,A2,NOUN,False,86
receive,B2,VERB,False,11
motif,Advanced / Unknown,NOUN,False,1
meaning,B1,NOUN,False,11
prime,A1,ADJ,False,1
motive,A2,NOUN,False,1
teller,A1,NOUN,False,1
try,B2,VERB,False,88
his,B1,PRON,True,1573
hand,A1,NOUN,False,238
really,B2,ADV,True,41
hold,B1,VERB,False,82
attention,B2,NOUN,False,10
amuse,B1,VERB,False,2
delight,A2,VERB,False,17
maybe,B1,ADV,False,64
excite,Advanced / Unknown,VERB,False,2
deeply,B2,ADV,False,19
move,A2,VERB,True,94
guide,B1,NOUN,False,24
only,B2,ADV,True,311
feeling,B2,NOUN,False,17
what,A1,PRON,True,534
appeal,A2,VERB,False,1
inevitably,Advanced / Unknown,ADV,False,1
fault,A1,NOUN,False,10
any,A2,DET,True,287
rate,B1,NOUN,False,23
review,A1,VERB,False,2
boring,B2,ADJ,False,1
absurd,B2,ADJ,False,10
contemptible,Advanced / Unknown,ADJ,False,1
cause,A2,NOUN,False,8
complain,B2,VERB,False,1
similar,B2,ADJ,False,5
kind,A1,NOUN,False,44
evidently,B2,ADV,False,9
prefer,B1,VERB,False,8
even,B1,ADV,True,283
